GRANULE_ID,PRODUCT_ID,DATATAKE_IDENTIFIER,MGRS_TILE,SENSING_TIME,TOTAL_SIZE,CLOUD_COVER,GEOMETRIC_QUALITY_FLAG,GENERATION_TIME,NORTH_LAT,SOUTH_LAT,WEST_LON,EAST_LON,BASE_URL
L1C_T34TDM_A039344_20240917T093351,S2B_MSIL1C_20240917T093029_N0511_R136_T34TDM_20240917T115430,GS2B_20240917T093029_039344_N05.11,34TDM,2024-09-17T09:38:53.598000Z,811477935,45.2615485681866,,2024-09-17T11:54:30.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20240917T093029_N0511_R136_T34TDM_20240917T115430.SAFE
L1C_T34TDL_A039344_20240917T093351,S2B_MSIL1C_20240917T093029_N0511_R136_T34TDL_20240917T115430,GS2B_20240917T093029_039344_N05.11,34TDL,2024-09-17T09:39:08.066000Z,744214296,74.2505300247843,,2024-09-17T11:54:30.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2B_MSIL1C_20240917T093029_N0511_R136_T34TDL_20240917T115430.SAFE
L1C_T34TEK_A039344_20240917T093351,S2B_MSIL1C_20240917T093029_N0511_R136_T34TEK_20240917T115430,GS2B_20240917T093029_039344_N05.11,34TEK,2024-09-17T09:39:18.410000Z,319050440,100.0,,2024-09-17T11:54:30.000000Z,40.6509465300432,39.66048709022458,20.99964480194382,21.88197851137842,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2B_MSIL1C_20240917T093029_N0511_R136_T34TEK_20240917T115430.SAFE
L1C_T34TDK_A039344_20240917T093351,S2B_MSIL1C_20240917T093029_N0511_R136_T34TDK_20240917T115430,GS2B_20240917T093029_039344_N05.11,34TDK,2024-09-17T09:39:22.380000Z,586627384,99.9901161575443,,2024-09-17T11:54:30.000000Z,40.65093382342741,39.655842773435886,19.8167086885318,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2B_MSIL1C_20240917T093029_N0511_R136_T34TDK_20240917T115430.SAFE
L1C_T34TDL_A048281_20240919T092850,S2A_MSIL1C_20240919T092031_N0511_R093_T34TDL_20240919T130125,GS2A_20240919T092031_048281_N05.11,34TDL,2024-09-19T09:29:16.122000Z,104196768,100.0,,2024-09-19T13:01:25.000000Z,41.55190240277758,40.56263515493769,20.781342550704377,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20240919T092031_N0511_R093_T34TDL_20240919T130125.SAFE
L1C_T34TDK_A048281_20240919T092850,S2A_MSIL1C_20240919T092031_N0511_R093_T34TDK_20240919T130125,GS2A_20240919T092031_048281_N05.11,34TDK,2024-09-19T09:29:29.103000Z,228895969,97.1997011305429,,2024-09-19T13:01:25.000000Z,40.65093963617408,39.660650296441844,20.505823056926264,21.115325126128145,gs://gcp-public-data-sentinel-2/tiles/34/T/DK/S2A_MSIL1C_20240919T092031_N0511_R093_T34TDK_20240919T130125.SAFE
L1C_T34TDM_A039387_20240920T094449,S2B_MSIL1C_20240920T094029_N0511_R036_T34TDM_20240920T114151,GS2B_20240920T094029_039387_N05.11,34TDM,2024-09-20T09:48:44.172000Z,65791555,94.2881620860467,,2024-09-20T11:41:51.000000Z,42.448818478394706,41.77567267897529,19.78339462668537,20.04699977100367,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2B_MSIL1C_20240920T094029_N0511_R036_T34TDM_20240920T114151.SAFE
L1C_T34TDM_A048324_20240922T093059,S2A_MSIL1C_20240922T093031_N0511_R136_T34TDM_20240922T102333,GS2A_20240922T093031_048324_N05.11,34TDM,2024-09-22T09:38:57.892000Z,844785643,2.04735883424408,,2024-09-22T10:23:33.000000Z,42.45276788409956,41.45760533794017,19.78339462668537,21.118572913936227,gs://gcp-public-data-sentinel-2/tiles/34/T/DM/S2A_MSIL1C_20240922T093031_N0511_R136_T34TDM_20240922T102333.SAFE
L1C_T34TDL_A048324_20240922T093059,S2A_MSIL1C_20240922T093031_N0511_R136_T34TDL_20240922T102333,GS2A_20240922T093031_048324_N05.11,34TDL,2024-09-22T09:39:12.345000Z,843907186,10.3866941383738,,2024-09-22T10:23:33.000000Z,41.55192163888785,40.55679702954411,19.800430497299637,21.11691208794176,gs://gcp-public-data-sentinel-2/tiles/34/T/DL/S2A_MSIL1C_20240922T093031_N0511_R136_T34TDL_20240922T102333.SAFE
L1C_T34TEK_A048324_20240922T093059,S2A_MSIL1C_20240922T093031_N0511_R136_T34TEK_20240922T102333,GS2A_20240922T093031_048324_N05.11,34TEK,2024-09-22T09:39:22.693000Z,492781088,6.4676093513498,,2024-09-22T10:23:33.000000Z,40.6509465300432,39.66051311821823,20.99964480194382,21.87488341258331,gs://gcp-public-data-sentinel-2/tiles/34/T/EK/S2A_MSIL1C_20240922T093031_N0511_R136_T34TEK_20240922T102333.SAFE
